bvid,has_stat_snapshot,has_comment_snapshot
BV14JX5BnE2S,True,True
BV14JX5BnE5B,True,True
BV14JXGBCEWd,True,True
BV14JXGBkE45,True,True
BV14JXGBkETS,True,True
BV14JXWBGE1B,True,True
BV14JXWBGE29,True,True
BV14JXZBgEDu,True,True
BV14JXZBgEJV,True,True
BV14LSZBwEZP,True,True
BV14LXGBLE9V,True,True
BV14LXGBLEQk,True,True
BV14LXGBLEdA,True,True
BV14M95BQEJf,True,True
BV14M9WBCEVU,True,True
BV14MX6B9EQX,True,True
BV14MXKBdE5G,True,True
BV14MXKBdEKM,True,True
BV14MXKBdEVq,True,True
BV14MXKBdEwE,True,True
BV14MXKBdEwJ,True,True
BV14MXMBeE2Y,True,True
BV14MXMBeECq,True,True
BV14MXMBeEe8,True,True
BV14MXMBeEjr,True,True
BV14MXMBeEpS,True,True
BV14NSQByEAj,True,True
BV14NX6BdEbG,True,True
BV14NXKBZE2t,True,True
BV14NXKBZEE5,True,True
BV14NXKBZEGG,True,True
BV14NXKBZEGi,True,True
BV14NXKBZELU,True,True
BV14NXKBZEUB,True,True
BV14NXKBZEV2,True,True
BV14NXKBZEfM,True,True
BV14NXKBfE3d,True,True
BV14NXSBmEmt,True,True
BV14P9WBjEYi,True,True
BV14PSQBLEyH,True,True
BV14PXKB8EXr,True,True
BV14PXKB8Ez6,True,True
BV14PXKBbELb,True,True
BV14PXKBbEZ9,True,True
BV14PXKBbEhy,True,True
BV14PXLBnEQE,True,True
BV14PXPBDEA2,True,True
BV14PXPBDEFU,True,True
BV14PXPBDEGW,True,True
BV14PXPBDEHv,True,True
BV14Q95BpEHq,True,True
BV14QXhBYEQm,True,True
BV14R9NBbEDm,True,True
BV14S95B9E5T,True,True
BV14S95B9EVJ,True,True
BV14SX6BdE8L,True,True
BV14SXKBZETD,True,True
BV14T9WB5E3e,True,True
BV14TX6BsEX3,True,True
BV14TXKB4E1s,True,True
BV14TXKB4E4P,True,True
BV14TXKB4EE9,True,True
BV14TXKB4ENb,True,True
BV14TXKB4ERd,True,True
BV14TXKB4ETL,True,True
BV14TXKB4EoG,True,True
BV14TXMBNE2T,True,True
BV14U95BsEah,True,True
BV14UXKBbE91,True,True
BV14UXKBbEC1,True,True
BV14UXKBbEn3,True,True
BV14UXKBbEqW,True,True
BV14UXbBoErv,True,True
BV14VDTBsEeS,True,True
BV14VDrBpEXZ,True,True
BV14VXMBcEAi,True,True
BV14WX5BUEpV,True,True
BV14WX5BmEPC,True,True
BV14WX5BmETH,True,True
BV14WXDBWEdk,True,True
BV14WXUB1EH7,True,True
BV14WXUB1EX2,True,True
BV14WXUB1Ei5,True,True
BV14WXUB1Enk,True,True
BV14WXjBxEa2,True,True
BV14WXjBxEhG,True,True
BV14WXjBxEyz,True,True
BV14X9jB8EJN,True,True
BV14X9jB8EnW,True,True
BV14XXYB6EQC,True,True
BV14Y9LBsEjN,True,True
BV14YDMB8E5H,True,True
BV14YDhBfEmQ,True,True
BV14YXpBCEf4,True,True
BV14ZDaBhED5,True,True
BV14ZXYBTExt,True,True
BV14aA8z9EBm,True,True
BV14aDKBpEpN,True,True
BV14aXnBiEVD,True,True
BV14bDKBsExQ,True,True
